Gene_symbol	Genes	Freq
NHS	NHS actin remodeling regulator	77
ADA	adenosine deaminase	52
UST	uronyl 2-sulfotransferase	52
CRP	C-reactive protein	46
HR	HR lysine demethylase and nuclear receptor corepressor	45
POR	cytochrome p450 oxidoreductase	33
TNF	tumor necrosis factor	25
SCD	stearoyl-CoA desaturase	18
MSC	musculin	15
MPO	myeloperoxidase	14
TH	tyrosine hydroxylase	14
AGA	aspartylglucosaminidase	13
KLF11	Kruppel like factor 11	12
LAMB3	laminin subunit beta 3	11
LBP	lipopolysaccharide binding protein	11
PC	pyruvate carboxylase	11
JAK1	Janus kinase 1	10
NLRP3	NLR family pyrin domain containing 3	10
TLR2	toll like receptor 2	10
MB	myoglobin	9
AR	androgen receptor	8
LRRK2	leucine rich repeat kinase 2	8
SCT	secretin	8
AMT	aminomethyltransferase	7
CD5	CD5 molecule	7
LCN2	lipocalin 2	7
PER2	period circadian regulator 2	7
TLR5	toll like receptor 5	7
AQP9	aquaporin 9	6
ATG16L1	autophagy related 16 like 1	6
IDH1	isocitrate dehydrogenase (NADP(+)) 1	6
ITGA4	integrin subunit alpha 4	6
MTHFR	methylenetetrahydrofolate reductase	6
TLR4	toll like receptor 4	6
USP14	ubiquitin specific peptidase 14	6
C9	complement C9	5
CD74	CD74 molecule	5
DEFB4A	defensin beta 4A	5
EMD	emerin	5
IGFBP5	insulin like growth factor binding protein 5	5
MEFV	MEFV innate immuity regulator, pyrin	5
METTL3	methyltransferase like 3	5
PCK1	phosphoenolpyruvate carboxykinase 1	5
PLN	phospholamban	5
TRIM28	tripartite motif containing 28	5
ACADM	acyl-CoA dehydrogenase medium chain	4
ADM	adrenomedullin	4
CADM2	cell adhesion molecule 2	4
CCL2	C-C motif chemokine ligand 2	4
CD4	CD4 molecule	4
CD86	CD86 molecule	4
COL1A1	collagen type I alpha 1 chain	4
CP	ceruloplasmin	4
CTRL	chymotrypsin like	4
CXCL8	C-X-C motif chemokine ligand 8	4
CXCL9	C-X-C motif chemokine ligand 9	4
ENG	endoglin	4
FGF19	fibroblast growth factor 19	4
ITPA	inosine triphosphatase	4
KDM5D	lysine demethylase 5D	4
LDLR	low density lipoprotein receptor	4
MC3R	melanocortin 3 receptor	4
MUC4	mucin 4, cell surface associated	4
PDK1	pyruvate dehydrogenase kinase 1	4
PDPN	podoplanin	4
PTX3	pentraxin 3	4
TPMT	thiopurine S-methyltransferase	4
VDR	vitamin D receptor	4
VEGFA	vascular endothelial growth factor A	4
WTAP	WT1 associated protein	4
XBP1	X-box binding protein 1	4
ATP8B1	ATPase phospholipid transporting 8B1	3
CD6	CD6 molecule	3
CDH1	cadherin 1	3
CEL	carboxyl ester lipase	3
CHI3L1	chitinase 3 like 1	3
CXCL1	C-X-C motif chemokine ligand 1	3
DEFB1	defensin beta 1	3
DUOX2	dual oxidase 2	3
FGF9	fibroblast growth factor 9	3
FZD7	frizzled class receptor 7	3
GK	glycerol kinase	3
HK2	hexokinase 2	3
ICAM1	intercellular adhesion molecule 1	3
IL6	interleukin 6	3
IMPACT	impact RWD domain protein	3
JUN	Jun proto-oncogene, AP-1 transcription factor subunit	3
KDR	kinase insert domain receptor	3
LPL	lipoprotein lipase	3
MC5R	melanocortin 5 receptor	3
MST1	macrophage stimulating 1	3
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	3
NAMPT	nicotinamide phosphoribosyltransferase	3
NNMT	nicotinamide N-methyltransferase	3
NOD2	nucleotide binding oligomerization domain containing 2	3
NOX1	NADPH oxidase 1	3
PARK7	Parkinsonism associated deglycase	3
PTK6	protein tyrosine kinase 6	3
SETDB1	SET domain bifurcated histone lysine methyltransferase 1	3
SLC39A8	solute carrier family 39 member 8	3
SPARC	secreted protein acidic and cysteine rich	3
TAP2	transporter 2, ATP binding cassette subfamily B member	3
ADAM12	ADAM metallopeptidase domain 12	2
AMH	anti-Mullerian hormone	2
APOC3	apolipoprotein C3	2
ARID5B	AT-rich interaction domain 5B	2
C2	complement C2	2
CACNA1H	calcium voltage-gated channel subunit alpha1 H	2
CD163	CD163 molecule	2
CFB	complement factor B	2
CIC	capicua transcriptional repressor	2
CS	citrate synthase	2
CXCL10	C-X-C motif chemokine ligand 10	2
FIS1	fission, mitochondrial 1	2
GPBAR1	G protein-coupled bile acid receptor 1	2
G0S2	G0/G1 switch 2	2
HINT1	histidine triad nucleotide binding protein 1	2
HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	2
IDS	iduronate 2-sulfatase	2
IL1B	interleukin 1 beta	2
IL1RL1	interleukin 1 receptor like 1	2
IL17A	interleukin 17A	2
IL18R1	interleukin 18 receptor 1	2
ITGB2	integrin subunit beta 2	2
LANCL2	LanC like 2	2
LPA	lipoprotein(a)	2
LPCAT1	lysophosphatidylcholine acyltransferase 1	2
MAB21L2	mab-21 like 2	2
MGP	matrix Gla protein	2
MMP9	matrix metallopeptidase 9	2
MMP12	matrix metallopeptidase 12	2
MMP13	matrix metallopeptidase 13	2
MSC-AS1	MSC antisense RNA 1	2
MUC1	mucin 1, cell surface associated	2
MUC2	mucin 2, oligomeric mucus/gel-forming	2
NBR1	NBR1 autophagy cargo receptor	2
NOX4	NADPH oxidase 4	2
NPS	neuropeptide S	2
NUDT15	nudix hydrolase 15	2
PDX1	pancreatic and duodenal homeobox 1	2
PDZK1IP1	PDZK1 interacting protein 1	2
PLAUR	plasminogen activator, urokinase receptor	2
PLEK	pleckstrin	2
PNMT	phenylethanolamine N-methyltransferase	2
S100A8	S100 calcium binding protein A8	2
SERPINE1	serpin family E member 1	2
SRL	sarcalumenin	2
STAT1	signal transducer and activator of transcription 1	2
TAX1BP1	Tax1 binding protein 1	2
